name,variant,condition,city,year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,Original_Price,Price
Tata Nexon,XZ (Top),Fair,Tier 2 (Medium),2025,142544.12,Diesel,Automatic,Second Owner,17.0,1199,118,5,1433547.27,852631.4
Maruti Suzuki Brezza,LXI (Base),Good,Metro (High Demand),2015,74679.75,Diesel,Manual,Third Owner,19.0,1462,103,5,1070748.15,333113.73
Maruti Suzuki Swift,VXI (Mid),Excellent,Metro (High Demand),2021,51846.58,Petrol,Automatic,Third Owner,21.0,1197,82,5,833174.9,507492.69
Honda Amaze,E (Base),Good,Metro (High Demand),2014,140182.38,Petrol,Manual,Second Owner,18.0,1199,88,5,906956.07,301005.6
Kia Seltos,HTE (Base),Good,Rural (Low),2023,22109.69,Petrol,Automatic,Second Owner,16.0,1497,113,5,1767931.75,1107899.01
Toyota Innova,V (Top),Good,Rural (Low),2014,133799.45,CNG,Manual,First Owner,11.0,2393,148,7,2646307.59,820034.86
Kia Sonet,HTK (Mid),Good,Tier 2 (Medium),2018,70777.02,Diesel,Manual,First Owner,18.0,998,118,5,1253680.52,641824.96
Mahindra XUV300,Mid,Good,Tier 2 (Medium),2024,18323.84,Petrol,Manual,First Owner,17.0,1197,108,5,1217645.31,1071875.81
Maruti Suzuki Ertiga,LXI (Base),Good,Tier 2 (Medium),2020,73612.53,Diesel,Automatic,Second Owner,20.0,1462,103,7,1359869.37,586732.44
Kia Sonet,GTX (Top),Excellent,Metro (High Demand),2014,94482.23,Petrol,Manual,First Owner,18.0,998,118,5,1151566.61,453979.42
Tata Safari,XM (Mid),Excellent,Metro (High Demand),2024,147139.31,CNG,Manual,First Owner,14.0,1956,167,7,2087842.14,1793249.42
Volkswagen Vento,Highline (Top),Excellent,Tier 2 (Medium),2018,23441.11,CNG,Automatic,First Owner,17.0,999,108,5,1355796.6,864148.57
Kia Carens,HTK (Mid),Excellent,Metro (High Demand),2024,70571.47,Diesel,Automatic,Second Owner,16.0,1497,113,7,1573772.82,1274526.36
Maruti Suzuki Brezza,LXI (Base),Good,Metro (High Demand),2022,142976.93,CNG,Automatic,Third Owner,19.0,1462,103,5,1098834.73,447373.17
Honda City,VX (Top),Good,Tier 2 (Medium),2014,74785.44,Petrol,Manual,Second Owner,17.0,1498,119,5,1566642.91,487201.14
Tata Nexon,XM (Mid),Good,Metro (High Demand),2017,50491.67,Diesel,Manual,First Owner,17.0,1199,118,5,1311394.15,584395.11
Mahindra XUV300,Base,Fair,Tier 2 (Medium),2021,86864.13,CNG,Automatic,First Owner,17.0,1197,108,5,1272055.56,648129.64
Mahindra Scorpio,Top,Poor,Metro (High Demand),2020,141207.73,Petrol,Manual,First Owner,15.0,2184,130,7,1832773.83,813564.93
Kia Sonet,HTK (Mid),Poor,Metro (High Demand),2011,34309.23,CNG,Automatic,Second Owner,18.0,998,118,5,1258325.2,399744.61
Hyundai Creta,SX (Top),Good,Tier 2 (Medium),2022,10322.96,CNG,Automatic,Second Owner,16.0,1497,113,5,1752158.58,1245645.54
Honda Elevate,S (Mid),Good,Tier 2 (Medium),2025,56542.11,CNG,Automatic,First Owner,15.0,1498,119,5,1591848.58,1420599.44
Kia Seltos,HTK (Mid),Good,Rural (Low),2023,133365.56,Diesel,Manual,First Owner,16.0,1497,113,5,1832545.46,1119087.54
Toyota Innova,V (Top),Good,Tier 2 (Medium),2023,31454.61,CNG,Automatic,First Owner,11.0,2393,148,7,2853720.89,2546209.1
Volkswagen Polo,Comfortline (Mid),Excellent,Metro (High Demand),2019,710504.6685410965,CNG,Automatic,First Owner,18.0,999,108,5,1001505.18,503217.78
Honda City,E (Base),Good,Metro (High Demand),2023,114717.81,CNG,Manual,Second Owner,17.0,1498,119,5,1425343.4,780900.36
Honda Amaze,S (Mid),Good,Tier 2 (Medium),2019,30805.66,Petrol,Automatic,Second Owner,18.0,1199,88,5,1053627.31,503406.48
Kia Seltos,HTK (Mid),Good,Tier 2 (Medium),2011,40142.13,Diesel,Manual,Fourth & Above Owner,16.0,1497,113,5,1830584.47,567859.59
Honda Amaze,E (Base),Good,Rural (Low),2020,30994.79,Diesel,Manual,Third Owner,18.0,1199,88,5,939417.83,418682.08
Hyundai Grand i10,S (Mid),Poor,Rural (Low),2025,121286.62,CNG,Manual,First Owner,20.0,1197,82,5,800936.95,456885.79
Toyota Urban Cruiser,G (Base),Good,Tier 2 (Medium),2023,114389.28,Diesel,Manual,First Owner,18.0,1462,103,5,1245111.57,763662.12
Mahindra Bolero,Top,Good,Metro (High Demand),2014,67631.31,CNG,Automatic,First Owner,16.0,1493,75,7,1184790.05,387205.36
Kia Seltos,HTE (Base),Good,Rural (Low),2013,69756.29,CNG,Automatic,Fourth & Above Owner,16.0,1497,113,5,1855742.94,582491.31
Toyota Glanza,G (Base),Fair,Rural (Low),2015,69611.59,Diesel,Manual,First Owner,22.0,1197,88,5,977105.15,310557.94
Kia Seltos,HTK (Mid),Poor,Tier 2 (Medium),2011,132035.82,Diesel,Automatic,First Owner,16.0,1497,113,5,1939264.65,606187.65
Mahindra XUV700,Top,Excellent,Metro (High Demand),2014,75289.56,Diesel,Manual,Second Owner,13.0,2198,182,7,2329115.81,820123.76
Hyundai i20,E (Base),Good,Metro (High Demand),2019,137631.84,Petrol,Automatic,First Owner,20.0,1197,82,5,1012189.77,461456.73
Kia Carens,HTK (Mid),Good,Tier 2 (Medium),2014,138920.08,CNG,Automatic,First Owner,16.0,1497,113,7,1455396.77,462653.74
Toyota Innova,G (Base),Good,Tier 2 (Medium),2011,146601.69,Diesel,Automatic,First Owner,11.0,2393,148,7,2781541.54,851296.12
Tata Tiago,XZ (Top),Good,Tier 2 (Medium),2013,124047.18,Diesel,Automatic,Third Owner,20.0,1199,84,5,1025189.93,333593.41
Maruti Suzuki Ertiga,ZXI (Top),Good,Metro (High Demand),2014,111980.69,Diesel,Automatic,Third Owner,20.0,1462,103,7,1322359.51,423928.88
Mahindra Bolero,Base,Good,Metro (High Demand),2015,46308.23,Petrol,Manual,First Owner,16.0,1493,75,7,971664.98,343781.41
Volkswagen Virtus,Comfortline (Mid),Fair,Tier 2 (Medium),2014,90328.26,Diesel,Manual,Fourth & Above Owner,18.0,1498,148,5,1642690.11,517685.26
Honda Elevate,E (Base),Good,Tier 2 (Medium),2012,59900.43,CNG,Manual,First Owner,15.0,1498,119,5,1365040.57,436242.79
Tata Safari,XE (Base),Good,Tier 2 (Medium),2019,22336.91,CNG,Manual,Third Owner,14.0,1956,167,7,2045413.61,833137.09
Kia Sonet,HTE (Base),Good,Rural (Low),2021,93854.54,Petrol,Automatic,First Owner,18.0,998,118,5,1232989.86,688057.08
Toyota Fortuner,V (Top),Fair,Rural (Low),2021,12663.72,CNG,Automatic,First Owner,10.0,2755,201,7,3780275.43,2486891.73
Toyota Innova,V (Top),Good,Tier 2 (Medium),2014,130756.87,Petrol,Automatic,First Owner,11.0,2393,148,7,2801011.23,855698.93
Honda Elevate,S (Mid),Good,Metro (High Demand),2013,114700.8,Diesel,Manual,First Owner,15.0,1498,119,5,1572946.25,496640.39
Honda Elevate,S (Mid),Excellent,Rural (Low),2013,476051.340875481,CNG,Automatic,Second Owner,15.0,1498,119,5,1552376.72,481729.16
Honda Amaze,VX (Top),Good,Tier 2 (Medium),2016,59423.94,Petrol,Manual,First Owner,18.0,1199,88,5,1017025.11,413232.81
Tata Safari,XZ (Top),Good,Tier 2 (Medium),2024,74950.54,CNG,Manual,Second Owner,14.0,1956,167,7,2171294.71,1603386.34
Kia Carens,GTX (Top),Fair,Metro (High Demand),2022,62061.13,CNG,Manual,First Owner,16.0,1497,113,7,1400099.17,969919.14
Honda Amaze,S (Mid),Good,Metro (High Demand),2024,73381.77,Petrol,Automatic,Third Owner,18.0,1199,88,5,994996.06,670780.02
Tata Nexon,XZ (Top),Good,Metro (High Demand),2023,108870.11,Diesel,Manual,First Owner,17.0,1199,118,5,1407199.57,1029801.63
Hyundai Verna,SX (Top),Excellent,Metro (High Demand),2025,49053.78,Diesel,Automatic,First Owner,19.0,1497,113,5,1581038.16,1403712.4
Kia Sonet,GTX (Top),Excellent,Tier 2 (Medium),2016,112729.32,CNG,Manual,Second Owner,18.0,998,118,5,1207156.31,376093.15
Toyota Fortuner,G (Base),Good,Tier 2 (Medium),2013,115613.7,CNG,Manual,Second Owner,10.0,2755,201,7,3542377.28,1088120.67
Kia Seltos,HTK (Mid),Good,Rural (Low),2018,123283.49,Diesel,Manual,First Owner,16.0,1497,113,5,1809956.58,688942.27
Volkswagen Polo,Comfortline (Mid),Fair,Rural (Low),2015,68062.1,CNG,Manual,First Owner,18.0,999,108,5,851874.75,266120.94
Mahindra XUV700,Mid,Excellent,Metro (High Demand),2013,96010.04,Petrol,Automatic,First Owner,13.0,2198,182,7,2276631.38,844791.51
Toyota Innova,G (Base),Excellent,Metro (High Demand),2024,16615.78,CNG,Automatic,First Owner,11.0,2393,148,7,2666120.46,2373599.74
Kia Seltos,GTX (Top),Fair,Tier 2 (Medium),2017,81481.37,Petrol,Automatic,First Owner,16.0,1497,113,5,1952063.89,697776.72
Hyundai i20,E (Base),Fair,Metro (High Demand),2015,110060.2,Petrol,Automatic,First Owner,20.0,1197,82,5,1038291.76,329847.15
Mahindra Bolero,Mid,Fair,Metro (High Demand),2023,78424.5,Petrol,Automatic,First Owner,16.0,1493,75,7,1175642.06,846051.72
Kia Seltos,GTX (Top),Excellent,Metro (High Demand),2023,53355.62,CNG,Automatic,Third Owner,16.0,1497,113,5,1939511.07,1283128.41
Volkswagen Taigun,Comfortline (Mid),Good,Metro (High Demand),2011,87706.46,Petrol,Automatic,First Owner,16.0,1498,148,5,1698235.23,532085.93
Volkswagen Polo,Comfortline (Mid),Fair,Rural (Low),2021,30535.05,CNG,Automatic,First Owner,18.0,999,108,5,1072073.6,613664.44
Volkswagen Polo,Trendline (Base),Poor,Tier 2 (Medium),2021,81502.54,CNG,Manual,First Owner,18.0,999,108,5,911362.49,367517.92
Volkswagen Virtus,Trendline (Base),Good,Metro (High Demand),2015,33317.15,Petrol,Manual,Second Owner,18.0,1498,148,5,1548279.53,490500.63
Tata Safari,XM (Mid),Poor,Metro (High Demand),2014,148038.68,Petrol,Automatic,First Owner,14.0,1956,167,7,2180556.35,678158.72
Hyundai Grand i10,E (Base),Fair,Rural (Low),2013,131562.52,Petrol,Manual,First Owner,20.0,1197,82,5,737557.55,245237.27
Kia Sonet,HTK (Mid),Good,Rural (Low),2017,24115.5,Petrol,Automatic,Second Owner,18.0,998,118,5,1181210.37,426442.12
Toyota Fortuner,G (Base),Good,Metro (High Demand),2024,54971.48,CNG,Manual,First Owner,10.0,2755,201,7,3620117.25,3230812.16
Honda Elevate,E (Base),Excellent,Tier 2 (Medium),2011,148516.81,Diesel,Automatic,First Owner,15.0,1498,119,5,1659327.69,514732.97
Volkswagen Virtus,Comfortline (Mid),Good,Rural (Low),2025,139054.89,CNG,Automatic,First Owner,18.0,1498,148,5,1680770.18,1257001.8
Mahindra XUV300,Top,Good,Metro (High Demand),2016,31432.04,Petrol,Manual,Second Owner,17.0,1197,108,5,1265866.42,446010.83
Mahindra Scorpio,Top,Good,Tier 2 (Medium),2011,113686.5,Petrol,Automatic,First Owner,15.0,2184,130,7,1856519.47,577797.24
Honda Amaze,E (Base),Fair,Metro (High Demand),2024,30478.39,Diesel,Automatic,First Owner,18.0,1199,88,5,1145167.16,958129.63
Kia Carens,HTE (Base),Good,Tier 2 (Medium),2014,438374.6653910385,Petrol,Automatic,Second Owner,16.0,1497,113,7,1327672.84,418619.67
Maruti Suzuki Baleno,LXI (Base),Good,Tier 2 (Medium),2017,330102.03964664927,Petrol,Manual,First Owner,22.0,1197,88,5,807262.81,305032.49
Mahindra Scorpio,Base,Good,Metro (High Demand),2012,64786.66,Diesel,Manual,Third Owner,15.0,2184,130,7,1704442.59,527650.75
Tata Tiago,XM (Mid),Fair,Rural (Low),2016,31432.17,Diesel,Manual,First Owner,20.0,1199,84,5,887387.46,304002.85
Tata Tiago,XE (Base),Excellent,Metro (High Demand),2020,6265.96,Diesel,Automatic,First Owner,20.0,1199,84,5,884833.93,656567.57
Maruti Suzuki Brezza,ZXI (Top),Good,Tier 2 (Medium),2021,5955.95,CNG,Manual,First Owner,19.0,1462,103,5,1050440.58,758148.7
Tata Safari,XZ (Top),Fair,Tier 2 (Medium),2013,96893.65,Diesel,Automatic,First Owner,14.0,1956,167,7,2400148.22,743390.63
Honda Elevate,S (Mid),Excellent,Tier 2 (Medium),2024,67026.98,Petrol,Automatic,First Owner,15.0,1498,119,5,1536896.45,1372269.48
Kia Seltos,HTK (Mid),Good,Metro (High Demand),2020,91647.23,Petrol,Manual,First Owner,16.0,1497,113,5,1760545.42,1044111.91
Honda City,VX (Top),Poor,Tier 2 (Medium),2021,11668.44,CNG,Manual,First Owner,17.0,1498,119,5,1639343.69,808197.56
Hyundai Creta,SX (Top),Fair,Tier 2 (Medium),2022,48690.94,Diesel,Manual,Second Owner,16.0,1497,113,5,1785206.81,1120185.05
Mahindra XUV700,Top,Good,Rural (Low),2014,124753.42,Diesel,Automatic,First Owner,13.0,2198,182,7,2396204.56,2130103.01
Honda Amaze,VX (Top),Good,Rural (Low),2023,32138.86,CNG,Automatic,Third Owner,18.0,1199,88,5,1041175.91,648282.36
Mahindra XUV300,Base,Good,Metro (High Demand),2020,35545.53,Diesel,Automatic,First Owner,17.0,1197,108,5,1397049.42,887238.51
Volkswagen Virtus,Trendline (Base),Good,Metro (High Demand),2022,117092.47,CNG,Manual,First Owner,18.0,1498,148,5,1609967.11,984439.97
Mahindra Thar,Mid,Fair,Tier 2 (Medium),2025,61832.13,Petrol,Manual,First Owner,15.0,1997,150,4,1665512.89,1344752.56
Mahindra XUV700,Top,Good,Tier 2 (Medium),2015,145355.43,CNG,Manual,First Owner,13.0,2198,182,7,2195816.08,722456.82
Toyota Glanza,V (Top),Good,Tier 2 (Medium),2022,58469.44,CNG,Automatic,First Owner,22.0,1197,88,5,1138278.23,790514.24
Hyundai Grand i10,SX (Top),Good,Tier 2 (Medium),2012,138713.01,Diesel,Manual,Third Owner,20.0,1197,82,5,906428.92,299878.85
Toyota Innova,G (Base),Excellent,Metro (High Demand),2011,93561.52,Petrol,Manual,First Owner,11.0,2393,148,7,2595053.62,807990.69
Honda Amaze,S (Mid),Fair,Metro (High Demand),2019,70544.21,Diesel,Automatic,Fourth & Above Owner,18.0,1199,88,5,1206081.1,376127.07
Hyundai Verna,SX (Top),Fair,Metro (High Demand),2022,43400.25,CNG,Automatic,First Owner,19.0,1497,113,5,1421133.77,1044598.45
Honda Elevate,VX (Top),Good,Rural (Low),2016,619232.5362568663,CNG,Manual,First Owner,15.0,1498,119,5,1540003.7,503973.75
Volkswagen Polo,Highline (Top),Good,Tier 2 (Medium),2016,736175.2717595121,CNG,Automatic,First Owner,18.0,999,108,5,1034367.03,328017.9
Mahindra XUV700,Top,Poor,Tier 2 (Medium),2014,140739.86,CNG,Automatic,Second Owner,13.0,2198,182,7,2309886.14,718856.46
Kia Carens,GTX (Top),Excellent,Tier 2 (Medium),2020,23669.74,CNG,Automatic,First Owner,16.0,1497,113,7,1518510.18,988206.46
Maruti Suzuki Brezza,LXI (Base),Excellent,Metro (High Demand),2018,39622.66,Petrol,Manual,Third Owner,19.0,1462,103,5,961886.91,362671.36
Volkswagen Virtus,Comfortline (Mid),Excellent,Metro (High Demand),2011,123113.45,Diesel,Automatic,First Owner,18.0,1498,148,5,1894659.49,596616.83
Maruti Suzuki Ertiga,VXI (Mid),Good,Tier 2 (Medium),2020,87371.62,Diesel,Manual,First Owner,20.0,1462,103,7,1228508.13,699091.42
Volkswagen Polo,Comfortline (Mid),Excellent,Tier 2 (Medium),2018,126959.66,Diesel,Automatic,Second Owner,18.0,999,108,5,1154851.88,390522.27
Volkswagen Polo,Trendline (Base),Good,Tier 2 (Medium),2021,70790.55,Petrol,Manual,First Owner,18.0,999,108,5,933315.04,512359.55
Volkswagen Vento,Trendline (Base),Good,Tier 2 (Medium),2023,92321.29,Diesel,Automatic,First Owner,17.0,999,108,5,1402691.21,1036695.2
Maruti Suzuki Brezza,ZXI (Top),Fair,Tier 2 (Medium),2023,130519.75,Diesel,Manual,First Owner,19.0,1462,103,5,1186356.05,662924.56
Kia Carens,HTE (Base),Fair,Tier 2 (Medium),2013,78927.94,CNG,Automatic,Third Owner,16.0,1497,113,7,1385915.08,437520.78
Mahindra XUV300,Base,Good,Tier 2 (Medium),2020,94081.89,CNG,Manual,Fourth & Above Owner,17.0,1197,108,5,1139439.42,342527.51
Volkswagen Virtus,Comfortline (Mid),Good,Metro (High Demand),2025,19554.9,CNG,Manual,Third Owner,18.0,1498,148,5,1588119.58,1294429.22
Honda City,S (Mid),Fair,Tier 2 (Medium),2013,119116.24,Petrol,Automatic,First Owner,17.0,1498,119,5,1602251.07,491450.79
Maruti Suzuki Ertiga,VXI (Mid),Poor,Metro (High Demand),2015,71955.64,Petrol,Automatic,Second Owner,20.0,1462,103,7,1238151.98,390938.4
Maruti Suzuki Ertiga,LXI (Base),Fair,Metro (High Demand),2025,72263.39,CNG,Manual,Fourth & Above Owner,20.0,1462,103,7,1107020.82,534132.84
Toyota Urban Cruiser,G (Base),Good,Tier 2 (Medium),2018,144069.24,Diesel,Automatic,First Owner,18.0,1462,103,5,1353667.69,457228.02
Tata Tiago,XE (Base),Good,Metro (High Demand),2015,40863.28,CNG,Automatic,First Owner,20.0,1199,84,5,740508.86,281564.04
Toyota Urban Cruiser,G (Base),Excellent,Tier 2 (Medium),2017,11625.05,Diesel,Automatic,First Owner,18.0,1462,103,5,1348090.62,616744.16
Maruti Suzuki Baleno,LXI (Base),Fair,Tier 2 (Medium),2024,100766.54,CNG,Manual,Fourth & Above Owner,22.0,1197,88,5,769525.44,272472.7
Maruti Suzuki Swift,VXI (Mid),Good,Tier 2 (Medium),2020,46964.96,Petrol,Automatic,First Owner,21.0,1197,82,5,790655.13,529493.34
Honda City,VX (Top),Good,Tier 2 (Medium),2016,138552.93,Diesel,Manual,First Owner,17.0,1498,119,5,1662720.87,554863.28
Tata Harrier,XE (Base),Poor,Metro (High Demand),2021,101018.53,Diesel,Automatic,Fourth & Above Owner,16.0,1956,167,5,2040263.14,626588.9
Toyota Innova,V (Top),Poor,Rural (Low),2014,30485.14,CNG,Manual,Fourth & Above Owner,11.0,2393,148,7,2725653.13,831804.89
Tata Altroz,XE (Base),Good,Tier 2 (Medium),2022,121152.51,Petrol,Automatic,Fourth & Above Owner,19.0,1199,84,5,986008.13,370847.07
Maruti Suzuki Swift,LXI (Base),Good,Metro (High Demand),2014,149624.37,Diesel,Automatic,First Owner,21.0,1197,82,5,844090.82,260258.97
Maruti Suzuki Alto,LXI (Base),Excellent,Metro (High Demand),2017,11271.26,CNG,Manual,First Owner,22.0,796,47,5,369629.21,200035.11
Toyota Urban Cruiser,G (Base),Excellent,Tier 2 (Medium),2020,106570.37,Diesel,Automatic,Second Owner,18.0,1462,103,5,1221020.17,521329.92
Volkswagen Polo,Trendline (Base),Fair,Metro (High Demand),2022,104317.67,Diesel,Manual,Second Owner,18.0,999,108,5,960329.66,389037.48
Mahindra Scorpio,Base,Excellent,Tier 2 (Medium),2019,59670.65,CNG,Automatic,Second Owner,15.0,2184,130,7,1869119.85,961136.94
Mahindra Bolero,Base,Good,Metro (High Demand),2025,80880.31,CNG,Manual,First Owner,16.0,1493,75,7,1054056.86,925296.37
Volkswagen Vento,Comfortline (Mid),Good,Metro (High Demand),2018,34557.56,Diesel,Manual,Second Owner,17.0,999,108,5,1266705.61,563879.59
Kia Carens,HTE (Base),Good,Tier 2 (Medium),2012,108501.65,Diesel,Automatic,First Owner,16.0,1497,113,7,1420342.01,438282.35
Hyundai Venue,S (Mid),Fair,Rural (Low),2025,70098.69,Diesel,Manual,First Owner,18.0,998,118,5,1275402.38,987618.94
Tata Tiago,XZ (Top),Fair,Rural (Low),2015,14261.06,Diesel,Manual,First Owner,20.0,1199,84,5,825231.19,269983.48
Tata Altroz,XZ (Top),Excellent,Metro (High Demand),2022,89447.38,Diesel,Manual,Second Owner,19.0,1199,84,5,1090872.54,735791.3
Volkswagen Taigun,Comfortline (Mid),Fair,Tier 2 (Medium),2020,40612.1,Diesel,Manual,First Owner,16.0,1498,148,5,1594383.11,792266.03
Toyota Innova,G (Base),Excellent,Tier 2 (Medium),2012,29720.18,Diesel,Automatic,Second Owner,11.0,2393,148,7,2770990.18,850620.07
Mahindra XUV700,Base,Fair,Rural (Low),2022,70407.73,CNG,Automatic,First Owner,13.0,2198,182,7,2125555.16,1329797.15
Hyundai Verna,SX (Top),Poor,Tier 2 (Medium),2020,80783.87,Diesel,Automatic,Third Owner,19.0,1497,113,5,1581059.11,504229.42
Tata Harrier,XE (Base),Poor,Metro (High Demand),2017,74805.66,Petrol,Automatic,First Owner,16.0,1956,167,5,1983993.59,618481.47
Kia Seltos,HTK (Mid),Fair,Metro (High Demand),2012,130974.77,Diesel,Automatic,Third Owner,16.0,1497,113,5,1993312.83,619822.76
Volkswagen Vento,Comfortline (Mid),Excellent,Tier 2 (Medium),2015,141242.92,CNG,Manual,First Owner,17.0,999,108,5,1161040.73,411282.11
Mahindra XUV300,Mid,Good,Tier 2 (Medium),2014,7229.47,Petrol,Manual,Second Owner,17.0,1197,108,5,1284963.1,405814.91
Hyundai Verna,E (Base),Good,Tier 2 (Medium),2021,112001.5,CNG,Manual,First Owner,19.0,1497,113,5,1335842.67,666668.93
Tata Altroz,XZ (Top),Excellent,Tier 2 (Medium),2021,18167.21,Diesel,Automatic,Third Owner,19.0,1199,84,5,1196081.6,662739.34
Maruti Suzuki Dzire,ZXI (Top),Good,Metro (High Demand),2013,90643.63,Diesel,Automatic,First Owner,23.0,1197,88,5,1040191.05,331468.63
Volkswagen Taigun,Comfortline (Mid),Good,Tier 2 (Medium),2020,138314.57,Petrol,Manual,First Owner,16.0,1498,148,5,1543922.26,702808.08
Honda Amaze,VX (Top),Poor,Tier 2 (Medium),2017,61065.52,Petrol,Automatic,Second Owner,18.0,1199,88,5,1131282.07,363163.95
Volkswagen Polo,Comfortline (Mid),Good,Metro (High Demand),2016,117863.05,Diesel,Manual,First Owner,18.0,999,108,5,971337.61,354808.98
Toyota Urban Cruiser,V (Top),Fair,Rural (Low),2015,48076.24,CNG,Manual,First Owner,18.0,1462,103,5,1199775.28,383611.32
Kia Carens,HTK (Mid),Fair,Tier 2 (Medium),2017,34523.88,Petrol,Automatic,Second Owner,16.0,1497,113,7,1436032.04,456369.65
Volkswagen Polo,Trendline (Base),Fair,Metro (High Demand),2016,108219.04,CNG,Automatic,First Owner,18.0,999,108,5,999337.64,322981.71
Maruti Suzuki Brezza,LXI (Base),Fair,Metro (High Demand),2013,130544.83,Diesel,Manual,First Owner,19.0,1462,103,5,1031805.33,327029.09
Tata Harrier,XE (Base),Good,Rural (Low),2014,81121.38,Diesel,Manual,First Owner,16.0,1956,167,5,1920075.9,603792.74
Toyota Glanza,G (Base),Excellent,Tier 2 (Medium),2022,13058.46,Petrol,Manual,Second Owner,22.0,1197,88,5,812972.54,523063.11
Toyota Urban Cruiser,V (Top),Fair,Metro (High Demand),2012,65401.43,CNG,Automatic,First Owner,18.0,1462,103,5,1319921.69,425950.3
Kia Seltos,HTK (Mid),Good,Rural (Low),2024,105780.91,Diesel,Automatic,First Owner,16.0,1497,113,5,1951963.8,1298024.14
Hyundai i20,E (Base),Good,Metro (High Demand),2016,40192.64,CNG,Manual,Fourth & Above Owner,20.0,1197,82,5,825750.83,263377.02
Hyundai i20,S (Mid),Good,Tier 2 (Medium),2013,55650.31,Diesel,Automatic,First Owner,20.0,1197,82,5,1191455.42,363497.28
